Indicador,Localidad,Desagregación,Año 2008,Año 2009,Año 2010,Año 2011,Año 2012,Año 2013,Año 2014,Año 2015,Año 2016,Año 2017,Año 2018,Año 2019,Año 2020,Año 2021,Año 2022,Año 2023,Año 2024,Fuente Archivo
Número de homicidios CICRI,Antonio Nariño,Total,21,20,18,12,7,9,19,17,23,13,13,11,11,14,21,13,14,indicador de homicidio.xlsx
Número de hurtos a personas,Antonio Nariño,Total,388,322,378,387,463,665,580,524,909,1565,1804,2420,1909,2482,2744,3228,2237,indicador de hurto a personas.xlsx
Número de hurtos a vehículos,Antonio Nariño,Total,103,143,125,117,76,57,87,66,78,124,114,106,120,116,113,143,127,indicador de hurto a vehiculos.xlsx
Número de hurto a establecimientos de comercio,Antonio Nariño,Total,124,107,100,94,283,657,462,444,381,621,703,708,409,419,428,357,353,indicador de hurto establecimientos comercialess.xlsx
Número de hurtos a residencias,Antonio Nariño,Total,80,57,64,66,66,63,54,48,46,125,133,158,187,154,123,120,74,indicador de hurto residencial.xlsx
Número de lesiones comunes,Antonio Nariño,Total,193,183,185,193,223,266,256,282,398,488,515,429,295,422,352,313,307,indicador lesiones personales.xlsx
Número de homicidios CICRI,Barrios Unidos,Total,28,23,20,23,15,10,13,10,11,12,12,9,9,11,12,17,21,indicador de homicidio.xlsx
Número de hurtos a personas,Barrios Unidos,Total,745,695,760,773,936,1230,1269,1272,1686,3482,4571,5433,3279,4264,5402,6931,5117,indicador de hurto a personas.xlsx
Número de hurtos a vehículos,Barrios Unidos,Total,139,117,142,114,72,58,69,52,62,84,103,110,91,115,83,78,130,indicador de hurto a vehiculos.xlsx
Número de hurto a establecimientos de comercio,Barrios Unidos,Total,302,305,260,194,216,190,175,137,126,661,713,794,581,529,522,530,494,indicador de hurto establecimientos comercialess.xlsx
Número de hurtos a residencias,Barrios Unidos,Total,202,196,191,185,172,108,148,64,78,322,331,302,297,286,257,230,221,indicador de hurto residencial.xlsx
Número de lesiones comunes,Barrios Unidos,Total,248,255,229,218,307,287,370,353,678,746,751,565,452,592,617,608,449,indicador lesiones personales.xlsx
Número de homicidios CICRI,Bosa,Total,89,97,112,148,111,138,124,131,125,122,102,107,84,114,90,112,118,indicador de homicidio.xlsx
